공종,작업명,단위작업명,기인물,사고건수,단위작업명전체건수,비중(%)
6. 조경공사,6.1 조경작업,6.1.2 조경 시공 및 설치,사다리,4,42,9.5
6. 조경공사,6.1 조경작업,6.1.2 조경 시공 및 설치,암석,4,42,9.5
6. 조경공사,6.1 조경작업,6.1.2 조경 시공 및 설치,충전부,4,42,9.5
6. 조경공사,6.1 조경작업,6.1.2 조경 시공 및 설치,트럭,3,42,7.1
6. 조경공사,6.1 조경작업,6.1.2 조경 시공 및 설치,벽체,2,42,4.8
6. 조경공사,6.1 조경작업,6.1.2 조경 시공 및 설치,계단,1,42,2.4
6. 조경공사,6.1 조경작업,6.1.2 조경 시공 및 설치,고소작업대,1,42,2.4
6. 조경공사,6.1 조경작업,6.1.2 조경 시공 및 설치,"기타자재(내부마감재,시멘트,마대)",1,42,2.4
6. 조경공사,6.1 조경작업,6.1.2 조경 시공 및 설치,분류불능,1,42,2.4
6. 조경공사,6.1 조경작업,6.1.2 조경 시공 및 설치,지게차,1,42,2.4
6. 조경공사,6.1 조경작업,6.1.2 조경 시공 및 설치,철골(철골자재),1,42,2.4
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",전주,18,41,43.9
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",충전부,11,41,26.8
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",기계설비,3,41,7.3
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공","각재(파이프,강관,합판)",1,41,2.4
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",개구부(기타개구부),1,41,2.4
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",고소작업대,1,41,2.4
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",굴착기,1,41,2.4
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",기타구조물,1,41,2.4
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",비계,1,41,2.4
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",작업발판/가설계단,1,41,2.4
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",철골(철골구조물),1,41,2.4
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",철골(철골자재),1,41,2.4
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,토사,18,33,54.5
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,개구부(기타개구부),8,33,24.2
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,고소작업대,8,33,24.2
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,벽체,4,33,12.1
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,벽체,4,33,12.1
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,달비계,3,33,9.1
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,작업발판/가설계단,3,33,9.1
