공종,작업명,단위작업명,기인물,사고건수,단위작업명전체건수,비중(%)
2. 철근콘크리트공사,2.3 철근 작업,2.3.3 철근 조립,슬라브단부,2,21,9.5
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,개구부(바닥개구부),2,21,9.5
"5. 전기, 기계설비공사",5.3 엘리베이터 설치 작업,5.3.1 엘리베이터 기계 설치,개구부(기타개구부),2,21,9.5
"5. 전기, 기계설비공사",5.3 엘리베이터 설치 작업,5.3.1 엘리베이터 기계 설치,"지붕(처마,홈통)",2,21,9.5
1. 토공사,1.2 흙막이 지보공 작업,1.2.2 흙막이 지보공 설치,고소작업대,1,21,4.8
1. 토공사,1.2 흙막이 지보공 작업,1.2.2 흙막이 지보공 설치,이동식크레인,1,21,4.8
1. 토공사,1.2 흙막이 지보공 작업,1.2.2 흙막이 지보공 설치,작업발판/가설계단,1,21,4.8
1. 토공사,1.2 흙막이 지보공 작업,1.2.2 흙막이 지보공 설치,충전부,1,21,4.8
2. 철근콘크리트공사,2.3 철근 작업,2.3.3 철근 조립,개구부(바닥개구부),1,21,4.8
2. 철근콘크리트공사,2.3 철근 작업,2.3.3 철근 조립,고소작업대,1,21,4.8
2. 철근콘크리트공사,2.3 철근 작업,2.3.3 철근 조립,바닥(바닥에 걸려 넘어짐),1,21,4.8
2. 철근콘크리트공사,2.3 철근 작업,2.3.3 철근 조립,벽체,1,21,4.8
2. 철근콘크리트공사,2.3 철근 작업,2.3.3 철근 조립,작업발판/가설계단,1,21,4.8
2. 철근콘크리트공사,2.3 철근 작업,2.3.3 철근 조립,충전부,1,21,4.8
3. 철골공사,3.1 철골 작업,3.1.3 철골 데크 플레이트 설치,"각재(파이프,강관,합판)",1,21,4.8
3. 철골공사,3.1 철골 작업,3.1.3 철골 데크 플레이트 설치,"기타자재(내부마감재,시멘트,마대)",1,21,4.8
3. 철골공사,3.1 철골 작업,3.1.3 철골 데크 플레이트 설치,동바리,1,21,4.8
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,계단,1,21,4.8
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,고소작업대,1,21,4.8
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,"기타자재(내부마감재,시멘트,마대)",1,21,4.8
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,말비계,1,21,4.8
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,분류불능,1,21,4.8
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,슬라브단부,1,21,4.8
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,작업발판/가설계단,1,21,4.8
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,철골(철골구조물),1,21,4.8
"5. 전기, 기계설비공사",5.3 엘리베이터 설치 작업,5.3.1 엘리베이터 기계 설치,"기타자재(내부마감재,시멘트,마대)",1,21,4.8
"5. 전기, 기계설비공사",5.3 엘리베이터 설치 작업,5.3.1 엘리베이터 기계 설치,분류불능,1,21,4.8
"5. 전기, 기계설비공사",5.3 엘리베이터 설치 작업,5.3.1 엘리베이터 기계 설치,용접(단)기,1,21,4.8
"5. 전기, 기계설비공사",5.3 엘리베이터 설치 작업,5.3.1 엘리베이터 기계 설치,작업발판/가설계단,1,21,4.8
1. 토공사,1.3 기초파일 작업,"1.3.1 기초파일 자재, 장비반입, 운반, 보관",천공기/항타기,7,20,35.0
