공종,작업명,단위작업명,기인물,재해형태,사고건수,단위작업명전체건수,비중(%),기인물 분류(VlookUp),구분(12대 기인물 = 중점관리대상),위험도 순위 (~12위),3년간 사고비중(19~21년)
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,굴착기,부딪힘 접촉,1,26,3.8,건설기계,12대 기인물,5,4.9%
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,트럭,떨어짐,1,26,3.8,건설기계,12대 기인물,9,3.4%
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,기계설비,떨어짐,1,26,3.8,기계설비,해당없음,해당없음,해당없음
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,바닥(바닥에 걸려 넘어짐),무너짐,1,26,3.8,바닥(바닥에 걸려 넘어짐),해당없음,해당없음,해당없음
4. 마감공사,"4.1 조적, 미장 및 견출작업",4.1.2 조적시공,작업발판/가설계단,떨어짐,6,25,24.0,작업발판/가설계단,12대 기인물,4,6.9%
4. 마감공사,"4.1 조적, 미장 및 견출작업",4.1.2 조적시공,비계,떨어짐,4,25,16.0,비계,12대 기인물,4,6.9%
4. 마감공사,"4.1 조적, 미장 및 견출작업",4.1.2 조적시공,이동식비계,떨어짐,4,25,16.0,이동식비계,12대 기인물,4,6.9%
12. 공통공사,"12.6 위험기계기구 작업(장비수리, 이동 등)","12.6.1 건설기계 장비수리, 개량, 이동 등",지게차,부딪힘 접촉,3,25,12.0,건설기계,해당없음,해당없음,해당없음
12. 공통공사,"12.6 위험기계기구 작업(장비수리, 이동 등)","12.6.1 건설기계 장비수리, 개량, 이동 등",이동식크레인,깔림 뒤집힘,2,25,8.0,건설기계,12대 기인물,12,2.3%
12. 공통공사,"12.6 위험기계기구 작업(장비수리, 이동 등)","12.6.1 건설기계 장비수리, 개량, 이동 등",이동식크레인,끼임,2,25,8.0,건설기계,12대 기인물,12,2.3%
12. 공통공사,"12.6 위험기계기구 작업(장비수리, 이동 등)","12.6.1 건설기계 장비수리, 개량, 이동 등",트럭,부딪힘 접촉,2,25,8.0,건설기계,12대 기인물,9,3.4%
