공종,작업명,단위작업명,기인물,재해형태,사고건수,단위작업명전체건수,비중(%),기인물 분류(VlookUp),구분(12대 기인물 = 중점관리대상),위험도 순위 (~12위),3년간 사고비중(19~21년)
3. 철골공사,3.1 철골 작업,3.1.3 철골 데크 플레이트 설치,"기타자재(내부마감재,시멘트,마대)",떨어짐,1,21,4.8,"기타자재(내부마감재,시멘트,마대)",해당없음,해당없음,해당없음
3. 철골공사,3.1 철골 작업,3.1.3 철골 데크 플레이트 설치,동바리,맞음(낙하물체),1,21,4.8,동바리,12대 기인물,11,3.0%
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,철골(철골구조물),떨어짐,1,21,4.8,건설자재,12대 기인물,2,8.5%
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,계단,떨어짐,1,21,4.8,계단,해당없음,해당없음,해당없음
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,고소작업대,떨어짐,1,21,4.8,고소작업대,12대 기인물,6,4.9%
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,"기타자재(내부마감재,시멘트,마대)",화재,1,21,4.8,"기타자재(내부마감재,시멘트,마대)",해당없음,해당없음,해당없음
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,말비계,떨어짐,1,21,4.8,말비계,12대 기인물,4,6.9%
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,분류불능,떨어짐,1,21,4.8,분류불능,해당없음,해당없음,해당없음
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,사다리,넘어짐,1,21,4.8,사다리,12대 기인물,4,6.9%
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,슬라브단부,떨어짐,1,21,4.8,슬라브단부,해당없음,해당없음,해당없음
4. 마감공사,4.4 도장작업,4.4.2 실내 도장,작업발판/가설계단,떨어짐,1,21,4.8,작업발판/가설계단,12대 기인물,4,6.9%
"5. 전기, 기계설비공사",5.3 엘리베이터 설치 작업,5.3.1 엘리베이터 기계 설치,"기타자재(내부마감재,시멘트,마대)",떨어짐,1,21,4.8,"기타자재(내부마감재,시멘트,마대)",해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.3 엘리베이터 설치 작업,5.3.1 엘리베이터 기계 설치,분류불능,떨어짐,1,21,4.8,분류불능,해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.3 엘리베이터 설치 작업,5.3.1 엘리베이터 기계 설치,용접(단)기,깔림 뒤집힘,1,21,4.8,유해위험기계기구,해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.3 엘리베이터 설치 작업,5.3.1 엘리베이터 기계 설치,작업발판/가설계단,떨어짐,1,21,4.8,작업발판/가설계단,12대 기인물,4,6.9%
1. 토공사,1.3 기초파일 작업,"1.3.1 기초파일 자재, 장비반입, 운반, 보관",천공기/항타기,깔림 뒤집힘,4,20,20.0,건설기계,해당없음,해당없음,해당없음
1. 토공사,1.3 기초파일 작업,"1.3.1 기초파일 자재, 장비반입, 운반, 보관",굴착기,맞음,3,20,15.0,건설기계,12대 기인물,5,4.9%
1. 토공사,1.3 기초파일 작업,"1.3.1 기초파일 자재, 장비반입, 운반, 보관",천공기/항타기,끼임,2,20,10.0,건설기계,해당없음,해당없음,해당없음
1. 토공사,1.3 기초파일 작업,"1.3.1 기초파일 자재, 장비반입, 운반, 보관",기초파일,끼임,2,20,10.0,건설자재,해당없음,해당없음,해당없음
1. 토공사,1.3 기초파일 작업,"1.3.1 기초파일 자재, 장비반입, 운반, 보관",굴착기,깔림 뒤집힘,1,20,5.0,건설기계,12대 기인물,5,4.9%
1. 토공사,1.3 기초파일 작업,"1.3.1 기초파일 자재, 장비반입, 운반, 보관",굴착기,떨어짐,1,20,5.0,건설기계,12대 기인물,5,4.9%
1. 토공사,1.3 기초파일 작업,"1.3.1 기초파일 자재, 장비반입, 운반, 보관",굴착기,부딪힘 접촉,1,20,5.0,건설기계,12대 기인물,5,4.9%
1. 토공사,1.3 기초파일 작업,"1.3.1 기초파일 자재, 장비반입, 운반, 보관",이동식크레인,깔림 뒤집힘,1,20,5.0,건설기계,12대 기인물,12,2.3%
1. 토공사,1.3 기초파일 작업,"1.3.1 기초파일 자재, 장비반입, 운반, 보관",이동식크레인,떨어짐,1,20,5.0,건설기계,12대 기인물,12,2.3%
1. 토공사,1.3 기초파일 작업,"1.3.1 기초파일 자재, 장비반입, 운반, 보관",이동식크레인,맞음,1,20,5.0,건설기계,12대 기인물,12,2.3%
1. 토공사,1.3 기초파일 작업,"1.3.1 기초파일 자재, 장비반입, 운반, 보관",이동식크레인,맞음(낙하물체),1,20,5.0,건설기계,12대 기인물,12,2.3%
1. 토공사,1.3 기초파일 작업,"1.3.1 기초파일 자재, 장비반입, 운반, 보관",천공기/항타기,맞음,1,20,5.0,건설기계,해당없음,해당없음,해당없음
1. 토공사,1.3 기초파일 작업,"1.3.1 기초파일 자재, 장비반입, 운반, 보관",기초파일,맞음,1,20,5.0,건설자재,해당없음,해당없음,해당없음
12. 공통공사,12.2 안전가시설 작업,12.2.8 안전가시설(낙하물방지망),방망,떨어짐,13,19,68.4,방망,해당없음,해당없음,해당없음
