공종,기인물,재해형태,사고건수,공종전체건수,비중(%)
4. 마감공사,"지붕(처마,홈통)",떨어짐,87,751,11.6
4. 마감공사,"지붕(채광판,선라이트)",떨어짐,73,751,9.7
4. 마감공사,달비계,떨어짐,66,751,8.8
4. 마감공사,사다리,떨어짐,53,751,7.1
4. 마감공사,고소작업대,떨어짐,50,751,6.7
4. 마감공사,비계,떨어짐,41,751,5.5
4. 마감공사,슬라브단부,떨어짐,40,751,5.3
4. 마감공사,이동식비계,떨어짐,39,751,5.2
4. 마감공사,작업발판/가설계단,떨어짐,28,751,3.7
4. 마감공사,개구부(바닥개구부),떨어짐,27,751,3.6
4. 마감공사,개구부(기타개구부),떨어짐,21,751,2.8
4. 마감공사,철골(철골구조물),떨어짐,19,751,2.5
4. 마감공사,계단,떨어짐,15,751,2.0
4. 마감공사,말비계,떨어짐,15,751,2.0
4. 마감공사,벽체,떨어짐,11,751,1.5
4. 마감공사,외부마감재,떨어짐,10,751,1.3
4. 마감공사,천장(판넬 등 마감재),떨어짐,10,751,1.3
4. 마감공사,"기타자재(내부마감재,시멘트,마대)",떨어짐,9,751,1.2
4. 마감공사,기타구조물,떨어짐,8,751,1.1
4. 마감공사,리프트,떨어짐,8,751,1.1
4. 마감공사,고소작업대,끼임,7,751,0.9
4. 마감공사,이동식크레인,떨어짐,7,751,0.9
4. 마감공사,엘리베이터피트,떨어짐,6,751,0.8
4. 마감공사,"기타자재(내부마감재,시멘트,마대)",맞음,5,751,0.7
4. 마감공사,충전부,감전,5,751,0.7
4. 마감공사,화학물질,유해위험물질 노출 접촉,5,751,0.7
4. 마감공사,기계설비,끼임,4,751,0.5
4. 마감공사,화학물질,화재,4,751,0.5
4. 마감공사,"각재(파이프,강관,합판)",떨어짐,3,751,0.4
4. 마감공사,"각재(파이프,강관,합판)",맞음,3,751,0.4
4. 마감공사,지게차,끼임,3,751,0.4
4. 마감공사,굴착기,떨어짐,2,751,0.3
4. 마감공사,기계설비,맞음,2,751,0.3
4. 마감공사,기타건설기계기구,맞음,2,751,0.3
4. 마감공사,기타건설장비,떨어짐,2,751,0.3
4. 마감공사,"기타자재(내부마감재,시멘트,마대)",깔림 뒤집힘,2,751,0.3
4. 마감공사,"기타자재(내부마감재,시멘트,마대)",끼임,2,751,0.3
4. 마감공사,리프트,끼임,2,751,0.3
4. 마감공사,분류불능,떨어짐,2,751,0.3
4. 마감공사,비계,맞음,2,751,0.3
4. 마감공사,외부마감재,부딪힘 접촉,2,751,0.3
4. 마감공사,이동식비계,깔림 뒤집힘,2,751,0.3
4. 마감공사,철골(철골자재),떨어짐,2,751,0.3
4. 마감공사,"철근콘크리트자재(철근,콘크리트,PC)",떨어짐,2,751,0.3
4. 마감공사,충전부,떨어짐,2,751,0.3
4. 마감공사,트럭,떨어짐,2,751,0.3
4. 마감공사,"각재(파이프,강관,합판)",넘어짐,1,751,0.1
4. 마감공사,"각재(파이프,강관,합판)",맞음(낙하물체),1,751,0.1
4. 마감공사,거푸집,떨어짐,1,751,0.1
4. 마감공사,계단,넘어짐,1,751,0.1
4. 마감공사,계단,부딪힘 접촉,1,751,0.1
4. 마감공사,고소작업대,깔림 뒤집힘,1,751,0.1
4. 마감공사,고소작업대,부딪힘 접촉,1,751,0.1
4. 마감공사,교통수단,끼임,1,751,0.1
4. 마감공사,교통수단,부딪힘 접촉,1,751,0.1
4. 마감공사,기타가설구조물,떨어짐,1,751,0.1
4. 마감공사,기타건설장비,맞음,1,751,0.1
4. 마감공사,기타구조물,맞음,1,751,0.1
4. 마감공사,"기타자재(내부마감재,시멘트,마대)",화재,1,751,0.1
4. 마감공사,리프트,맞음,1,751,0.1
4. 마감공사,물,익사,1,751,0.1
4. 마감공사,바닥(바닥에 걸려 넘어짐),떨어짐,1,751,0.1
